project_id,project_name,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label
PRJ0188,High-Voltage 765kV Transmission Line 75,Power & Energy,BRO,87.42,24,2021-08-29,95.3,88.3,89.7,6.4,2.0,Low
PRJ0189,Suburban Rail Line Expansion Phase 6,Railways,RVNL,74.08,24,2022-06-30,62.2,51.8,28.5,20.0,11.1,High
PRJ0190,Station Redevelopment & Multi-Modal Hub 94,Railways,SECI,52.54,18,2022-12-03,103.8,100.0,100.0,7.1,0.3,Low
PRJ0191,Smart City Multi-Level Interchange 48,Urban Infrastructure,SECI,260.0,36,2021-12-18,70.9,55.9,47.3,26.4,18.0,High
PRJ0192,High-Speed Rail Viaduct Package 2,Railways,DMRC,410.38,36,2021-11-25,67.3,66.3,69.2,6.3,1.4,Low
PRJ0193,Railway Doubling & Electrification Line 95,Railways,SECI,1108.58,36,2020-07-28,63.7,56.2,52.6,17.4,5.3,Medium
PRJ0194,NH-41 4-Lane Widening Package 3,Roads & Highways,RVNL,495.89,30,2022-06-29,104.1,96.3,98.8,7.4,2.5,Low
PRJ0195,Station Redevelopment & Multi-Modal Hub 30,Railways,NHAI,567.42,24,2020-06-07,85.5,77.6,71.4,15.0,5.2,Medium
PRJ0196,High-Voltage 765kV Transmission Line 65,Power & Energy,DMRC,350.8,24,2023-04-06,114.3,103.5,97.3,14.7,7.2,Medium
PRJ0197,Gas Insulated Substation & Grid Augmentation 58,Power & Energy,NTPC,1228.73,36,2021-10-20,44.8,38.6,31.7,19.8,4.7,Medium
PRJ0198,Super Thermal Power Station Expansion Unit 70,Power & Energy,NTPC,133.61,36,2022-10-02,109.9,100.0,100.0,1.8,2.9,Low
PRJ0199,High-Speed Rail Viaduct Package 3,Railways,BRO,144.86,60,2020-05-19,44.2,33.1,27.3,14.7,9.0,Medium
PRJ0200,Railway Doubling & Electrification Line 83,Railways,NHAI,127.08,48,2023-08-04,62.4,55.9,48.6,16.9,4.6,Medium
